title,start_date_f,end_date_f,lat,lng,address ,description,tags,source 
Milwaukee Brewers at Chicago Cubs,2015-09-22T19:05:00Z,2015-09-22T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at Detroit Tigers,2015-09-23T12:08:00Z,2015-09-23T,none,none,Detroit,Detroit Tigers Tickets,sports ,espn 
Milwaukee Brewers at Chicago Cubs,2015-09-23T19:05:00Z,2015-09-23T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at New York Yankees,2015-09-24T18:05:00Z,2015-09-24T,none,none,Bronx,New York Yankees Tickets,sports ,espn 
Pittsburgh Pirates at Chicago Cubs,2015-09-25T13:20:00Z,2015-09-25T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at New York Yankees,2015-09-25T18:05:00Z,2015-09-25T,none,none,Bronx,New York Yankees Tickets,sports ,espn 
Pittsburgh Pirates at Chicago Cubs,2015-09-26T02:33:00Z,2015-09-26T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago White Sox at New York Yankees,2015-09-26T02:33:00Z,2015-09-26T,none,none,Bronx,New York Yankees Tickets,sports ,espn 
Chicago White Sox at New York Yankees,2015-09-27T02:33:00Z,2015-09-27T,none,none,Bronx,New York Yankees Tickets,sports ,espn 
Pittsburgh Pirates at Chicago Cubs,2015-09-27T02:33:00Z,2015-09-27T,none,none,Chicago,Chicago Cubs Tickets,sports ,espn 
Chicago Cubs at Cincinnati Reds,2015-09-29T18:10:00Z,2015-09-29T,none,none,Cincinnati,Cincinnati Reds Tickets,sports ,espn 
Kansas City Royals at Chicago White Sox,2015-09-29T19:10:00Z,2015-09-29T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
Chicago Cubs at Cincinnati Reds,2015-09-30T18:10:00Z,2015-09-30T,none,none,Cincinnati,Cincinnati Reds Tickets,sports ,espn 
Kansas City Royals at Chicago White Sox,2015-09-30T19:10:00Z,2015-09-30T,none,none,Chicago,Chicago White Sox Tickets,sports ,espn 
