_id,address,black1,black2,description,end_date,end_time,location,red1,red2,source,start_date,start_time,strike1,strike2,tags,title
DbLPrfMy2bLLvJNKd,"Independence Park, 3945 N. Springfield Ave., Chicago IL         60618",0,0,"Midnight Circus presents a true ""Big Top"" tent extravaganza—celebrating community and rebuilding parks, one circus at a time.Midnight Circus presents a true ""Big Top"" tent extravaganza.  Celebrating community and rebuilding parks, one circus at a time.     Tickets available for purchase at the tent or in advance by visiting   http://midnightcircus.net/events/upcoming/   . Children under 2 are Free. ",2015-10-03T05:00:00.000Z,6:30 PM,"{""coordinates"":[-87.72372630000001,41.9526374],""type"":""Point""}",0,0,parks,2015-10-03T05:00:00.000Z,5:00 PM,0,0,[],Circus in the Parks at Independence
Dgb7TKMy2CDpmw6Ke,"Shabbona Park, 6935 W. Addison St., Chicago IL         60634",0,0,"Concerts in the Parks provides an opportunity to enjoy a  variety musical sounds at your local park. Funded in part by the Adam's Park Advisory Council and Ranch Triangle Association. Join us for a lively evening of music in the park!  
",2015-08-20T05:00:00.000Z,8:30 PM,"{""coordinates"":[-87.80030909999999,41.94266349999999],""type"":""Point""}",0,0,parks,2015-08-20T05:00:00.000Z,6:00 PM,0,0,"[""entertainment""]",Concerts in the Parks at Adams
DjPKev2GsLLv3HfaF,"Jay Pritzker Pavilion at Millennium Park, 201 East Randolph Street, Chicago, IL 60601, United States",,,"Five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought.
Where: Jay Pritzker Pavilion, Millennium Park
 https://goo.gl/maps/DCjdi
About: http://www.imdb.com/title/tt0088847/
Closed Captions: No
Runtime: 97 minutes
Calendar: https://www.facebook.com/ChicagoCalendar
",2015-09-16T03:38:09.766Z,8:07:00 PM,"{""coordinates"":[-87.62179040000001,41.8833847],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.766Z,6:30:00 PM,,,"[""entertainment"",""art""]",Millennium Park Film Series - The Breakfast Club
Dn9NgFTsWftw28Fay,"Grand Crossing Park, 7655 S. Ingleside Ave., Chicago IL         60619",0,0,"Midnight Circus presents a true ""Big Top"" tent extravaganza.  Celebrating community and rebuilding parks, one circus at a time.     Tickets available for purchase at the tent or in advance by visiting   http://midnightcircus.net/events/upcoming/   . ",2015-08-30T05:00:00.000Z,4:30 PM,"{""coordinates"":[-87.60121879999997,41.7556929],""type"":""Point""}",0,0,parks,2015-08-30T05:00:00.000Z,3:00 PM,0,0,[],Circus in the Parks at Grand Crossing
DwvTCFSmPxYMpnaJv,"Shedd Park, 3660 W. 23rd St., Chicago IL         60623",0,0,"Come out for music and dancing with DJ Jeff!As part of Night Out in the Parks, come out for music and dancing with DJ Jeff!",2015-08-22T05:00:00.000Z,6:00 PM,"{""coordinates"":[-87.71700150000004,41.8500587],""type"":""Point""}",0,0,parks,2015-08-22T05:00:00.000Z,4:00 PM,0,0,"[""entertainment""]",DJ in the Parks at Shedd
Dyy88TJsxZKyTy7FR,"Chicago Women's Park and Gardens, 1801 S. Indiana Ave., Chicago IL         60616",0,0,"Chicago Symphonic Winds performs a concert of entertaining wind music that spans the history of the medium.Chicago Symphonic Winds performs a concert of entertaining wind music that spans the history of the medium. Following the performance, CSW invites audience members to meet the musicians and learn more about the instruments with up close and hands-on opportunities.",2015-08-22T05:00:00.000Z,5:00 PM,"{""coordinates"":[-87.6215689,41.8571047],""type"":""Point""}",0,0,parks,2015-08-22T05:00:00.000Z,4:00 PM,0,0,"[""entertainment""]",Chicago Symphonic Winds at Chgo Women's
E3Sy8cjJbSLvH6orf,"220 E Chicago Ave, Chicago, IL 60611, USA",,,"Note: Free admission only to Illinois residents every Tuesday.
One of the nation’s largest facilities devoted to the art of our time, the Museum of Contemporary Art (MCA) offers exhibitions of the most thought-provoking art created since 1945. The MCA documents contemporary visual culture through painting, sculpture, photography, video and film, and performance. Located in the heart of downtown Chicago, the MCA boasts a gift store, bookstore, restaurant, 300-seat theater, and a terraced sculpture garden with a great view of Lake Michigan.
 https://goo.gl/maps/b05l4
About: http://www.mcachicago.org/info/about/overview

",2015-09-16T03:38:09.764Z,8:00:00 PM,"{""coordinates"":[-87.621287,41.8971555],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.764Z,10:00:00 AM,,,"[""art""]",Museum of Contemporary Art Free
E4YQpXpTDgbs3ErNX,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660",0,0," Join us for a Concert in the Park! Bring a chair or blanket, pack a picnic basket, and tell your friends. 
",2015-08-21T05:00:00.000Z,9:30 PM,"{""coordinates"":[-87.65513490000001,41.9948584],""type"":""Point""}",0,0,parks,2015-08-21T05:00:00.000Z,7:30 PM,0,0,"[""entertainment""]",Concerts in the Parks at Berger
E5oLe6WkuMZyxzuaP,"Rosedale Park, 6312 W. Rosedale Ave., Chicago IL         60646",0,0," The Birthplace of Rhythm:  Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.",2015-08-18T05:00:00.000Z,6:45 PM,"{""coordinates"":[-87.78571239999997,41.98850729999999],""type"":""Point""}",0,0,parks,2015-08-18T05:00:00.000Z,5:45 PM,0,0,"[""art""]",Urban Gateways at Rosedale
E7X67H7hBPQTLyQm8,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660",0,0,"Join us for an evening of theater in the park. Chicago Fringe Opera previews their production of ""The Turn of the Screw"" ",2015-09-23T05:00:00.000Z,9:00 PM,"{""coordinates"":[-87.65513490000001,41.9948584],""type"":""Point""}",0,0,parks,2015-09-23T05:00:00.000Z,7:30 PM,0,0,"[""art""]",The Turn of the Screw at Berger
